sum_fit 	 max_fit 	 min_fit 
46919.24265276703 	 491.8040496597634 	 440.5314863377786 
46897.85664554064 	 489.101388326375 	 436.8621201614334 
46989.13975382591 	 490.71854782709437 	 438.8842952272022 
46897.384232399796 	 489.55305725252043 	 442.93732519756543 
46835.68659028207 	 489.6267615490553 	 436.48138138952856 
46957.32959285989 	 490.7062134531477 	 439.92052440062594 
46832.764884246135 	 490.7062134531477 	 441.2510013860075 
46973.865976883695 	 489.0065799299829 	 440.25843077033994 
46953.56101812849 	 489.6669378323853 	 440.17593868436813 
47016.34556765639 	 490.03194700136635 	 439.92936242963253 
47013.723746106305 	 490.08229144252925 	 440.85535606588064 
47095.59067412079 	 490.75517630651007 	 440.16230008382206 
47130.2956288772 	 488.9351448872401 	 441.3769863562592 
47061.389679161635 	 488.61616117213964 	 439.62874457784494 
47122.68889712642 	 489.67367035045686 	 439.6305223662967 
47196.4498943965 	 492.20559174807363 	 442.62910630447175 
47150.03175686589 	 492.27414559098725 	 440.0752930582788 
47241.02814049173 	 490.0268743831117 	 442.70186586185923 
47127.29640338408 	 487.8852370700034 	 443.88382009300324 
47183.73769093679 	 488.4986637099162 	 442.0030827242931 
47143.823791883835 	 488.49237774813196 	 444.24804012178936 
47151.127709309774 	 490.0287312147892 	 444.26040216345007 
47202.57701679683 	 490.0287312147892 	 446.37395561352116 
47263.62235219694 	 490.0287312147892 	 451.7996471935612 
47306.78718318431 	 489.7932851360507 	 445.0591062358304 
47359.068782306436 	 490.1725451055222 	 445.82212243655897 
47211.812690967156 	 489.08602444403596 	 446.5916452674371 
47289.97710660125 	 490.93754157554554 	 447.98133573363805 
47173.15773506002 	 491.04557442497605 	 448.10165977133124 
47269.74232263277 	 491.11377973496803 	 445.51799573738833 
47255.646050791096 	 491.0057468855374 	 446.3828987832086 
47230.01627899063 	 489.8408904621805 	 451.01800858485547 
47257.00999142234 	 489.82710673237875 	 446.3782075106015 
47284.54935287183 	 488.7304556190137 	 446.3614833351835 
47128.33220694594 	 488.17680905671386 	 443.9870806196881 
47129.312650082844 	 490.82207961418646 	 444.34106218543684 
